row,pos,lure,StartDate,EndDate,trap_id,Count
5,8,AldTCP_12in,8/5/2019,8/13/2019,58,37
6,1,CidetrakNOW_4in,8/5/2019,8/13/2019,61,1
6,2,BlankCtrl,8/5/2019,8/13/2019,62,0
6,3,AldTCP_12in,8/5/2019,8/13/2019,63,4
6,4,CidetrakNOW_8in,8/5/2019,8/13/2019,64,0
6,5,AldTCP_4in,8/5/2019,8/13/2019,65,5
6,6,NowBiolure,8/5/2019,8/13/2019,66,59
6,7,AldTCP_1in,8/5/2019,8/13/2019,67,6
6,8,CidetrakNOW_1in,8/5/2019,8/13/2019,68,1
7,1,AldTCP_4in,8/5/2019,8/13/2019,71,10
7,2,AldTCP_12in,8/5/2019,8/13/2019,72,6
7,3,CidetrakNOW_1in,8/5/2019,8/13/2019,73,0
7,4,NowBiolure,8/5/2019,8/13/2019,74,51
7,5,CidetrakNOW_8in,8/5/2019,8/13/2019,75,1
7,6,CidetrakNOW_4in,8/5/2019,8/13/2019,76,0
7,7,BlankCtrl,8/5/2019,8/13/2019,77,0
7,8,AldTCP_1in,8/5/2019,8/13/2019,78,11
8,1,BlankCtrl,8/5/2019,8/13/2019,81,0
8,2,NowBiolure,8/5/2019,8/13/2019,82,36
8,3,AldTCP_12in,8/5/2019,8/13/2019,83,21
8,4,CidetrakNOW_4in,8/5/2019,8/13/2019,84,1
8,5,AldTCP_1in,8/5/2019,8/13/2019,85,15
8,6,AldTCP_4in,8/5/2019,8/13/2019,86,23
8,7,CidetrakNOW_8in,8/5/2019,8/13/2019,87,0
8,8,CidetrakNOW_1in,8/5/2019,8/13/2019,88,2
1,1,AldTCP_4in,8/13/2019,8/21/2019,11,47
1,2,AldTCP_12in,8/13/2019,8/21/2019,12,61
1,3,BlankCtrl,8/13/2019,8/21/2019,13,0
1,4,CidetrakNOW_4in,8/13/2019,8/21/2019,14,1
1,5,NowBiolure,8/13/2019,8/21/2019,15,127
1,6,CidetrakNOW_1in,8/13/2019,8/21/2019,16,0
1,7,CidetrakNOW_8in,8/13/2019,8/21/2019,17,2
1,8,AldTCP_1in,8/13/2019,8/21/2019,18,96
2,1,BlankCtrl,8/13/2019,8/21/2019,21,0
2,2,NowBiolure,8/13/2019,8/21/2019,22,60
2,3,CidetrakNOW_8in,8/13/2019,8/21/2019,23,1
2,4,AldTCP_1in,8/13/2019,8/21/2019,24,27
2,5,AldTCP_4in,8/13/2019,8/21/2019,25,36
2,6,CidetrakNOW_1in,8/13/2019,8/21/2019,26,0
2,7,AldTCP_12in,8/13/2019,8/21/2019,27,37
2,8,CidetrakNOW_4in,8/13/2019,8/21/2019,28,3
3,1,AldTCP_4in,8/13/2019,8/21/2019,31,41
3,2,CidetrakNOW_1in,8/13/2019,8/21/2019,32,3
3,3,CidetrakNOW_8in,8/13/2019,8/21/2019,33,3
3,4,CidetrakNOW_4in,8/13/2019,8/21/2019,34,0
3,5,BlankCtrl,8/13/2019,8/21/2019,35,0
3,6,AldTCP_1in,8/13/2019,8/21/2019,36,28
3,7,NowBiolure,8/13/2019,8/21/2019,37,134
3,8,AldTCP_12in,8/13/2019,8/21/2019,38,82
4,1,CidetrakNOW_4in,8/13/2019,8/21/2019,41,1
4,2,BlankCtrl,8/13/2019,8/21/2019,42,0
4,3,AldTCP_4in,8/13/2019,8/21/2019,43,10
4,4,NowBiolure,8/13/2019,8/21/2019,44,99
4,5,CidetrakNOW_1in,8/13/2019,8/21/2019,45,0
4,6,CidetrakNOW_8in,8/13/2019,8/21/2019,46,0
4,7,AldTCP_1in,8/13/2019,8/21/2019,47,14
4,8,AldTCP_12in,8/13/2019,8/21/2019,48,37
5,1,CidetrakNOW_4in,8/13/2019,8/21/2019,51,2
5,2,CidetrakNOW_8in,8/13/2019,8/21/2019,52,4
5,3,NowBiolure,8/13/2019,8/21/2019,53,88
5,4,BlankCtrl,8/13/2019,8/21/2019,54,0
5,5,AldTCP_1in,8/13/2019,8/21/2019,55,19
5,6,CidetrakNOW_1in,8/13/2019,8/21/2019,56,1
5,7,AldTCP_4in,8/13/2019,8/21/2019,57,37
5,8,AldTCP_12in,8/13/2019,8/21/2019,58,84
6,1,CidetrakNOW_4in,8/13/2019,8/21/2019,61,0
6,2,BlankCtrl,8/13/2019,8/21/2019,62,0
6,3,AldTCP_12in,8/13/2019,8/21/2019,63,24
6,4,CidetrakNOW_8in,8/13/2019,8/21/2019,64,0
6,5,AldTCP_4in,8/13/2019,8/21/2019,65,17
6,6,NowBiolure,8/13/2019,8/21/2019,66,85
6,7,AldTCP_1in,8/13/2019,8/21/2019,67,18
6,8,CidetrakNOW_1in,8/13/2019,8/21/2019,68,4
7,1,AldTCP_4in,8/13/2019,8/21/2019,71,37
7,2,AldTCP_12in,8/13/2019,8/21/2019,72,11
7,3,CidetrakNOW_1in,8/13/2019,8/21/2019,73,0
7,4,NowBiolure,8/13/2019,8/21/2019,74,85
7,5,CidetrakNOW_8in,8/13/2019,8/21/2019,75,1
7,6,CidetrakNOW_4in,8/13/2019,8/21/2019,76,4
7,7,BlankCtrl,8/13/2019,8/21/2019,77,0
7,8,AldTCP_1in,8/13/2019,8/21/2019,78,63
8,1,BlankCtrl,8/13/2019,8/21/2019,81,0
8,2,NowBiolure,8/13/2019,8/21/2019,82,103
8,3,AldTCP_12in,8/13/2019,8/21/2019,83,51
8,4,CidetrakNOW_4in,8/13/2019,8/21/2019,84,0
8,5,AldTCP_1in,8/13/2019,8/21/2019,85,19
8,6,AldTCP_4in,8/13/2019,8/21/2019,86,55
8,7,CidetrakNOW_8in,8/13/2019,8/21/2019,87,1
8,8,CidetrakNOW_1in,8/13/2019,8/21/2019,88,2
1,1,AldTCP_4in,8/21/2019,8/27/2019,11,33
1,2,AldTCP_12in,8/21/2019,8/27/2019,12,46
1,3,BlankCtrl,8/21/2019,8/27/2019,13,0
1,4,CidetrakNOW_4in,8/21/2019,8/27/2019,14,2
1,5,NowBiolure,8/21/2019,8/27/2019,15,123
1,6,CidetrakNOW_1in,8/21/2019,8/27/2019,16,0
1,7,CidetrakNOW_8in,8/21/2019,8/27/2019,17,0
1,8,AldTCP_1in,8/21/2019,8/27/2019,18,78
2,1,BlankCtrl,8/21/2019,8/27/2019,21,0
2,2,NowBiolure,8/21/2019,8/27/2019,22,22
2,3,CidetrakNOW_8in,8/21/2019,8/27/2019,23,0
2,4,AldTCP_1in,8/21/2019,8/27/2019,24,19
2,5,AldTCP_4in,8/21/2019,8/27/2019,25,36
2,6,CidetrakNOW_1in,8/21/2019,8/27/2019,26,1
2,7,AldTCP_12in,8/21/2019,8/27/2019,27,26
2,8,CidetrakNOW_4in,8/21/2019,8/27/2019,28,0
3,1,AldTCP_4in,8/21/2019,8/27/2019,31,33
3,2,CidetrakNOW_1in,8/21/2019,8/27/2019,32,0
3,3,CidetrakNOW_8in,8/21/2019,8/27/2019,33,0
3,4,CidetrakNOW_4in,8/21/2019,8/27/2019,34,1
3,5,BlankCtrl,8/21/2019,8/27/2019,35,0
3,6,AldTCP_1in,8/21/2019,8/27/2019,36,18
3,7,NowBiolure,8/21/2019,8/27/2019,37,109
3,8,AldTCP_12in,8/21/2019,8/27/2019,38,52
4,1,CidetrakNOW_4in,8/21/2019,8/27/2019,41,1
4,2,BlankCtrl,8/21/2019,8/27/2019,42,0
4,3,AldTCP_4in,8/21/2019,8/27/2019,43,2
4,4,NowBiolure,8/21/2019,8/27/2019,44,110
4,5,CidetrakNOW_1in,8/21/2019,8/27/2019,45,0
4,6,CidetrakNOW_8in,8/21/2019,8/27/2019,46,0
4,7,AldTCP_1in,8/21/2019,8/27/2019,47,5
4,8,AldTCP_12in,8/21/2019,8/27/2019,48,33
5,1,CidetrakNOW_4in,8/21/2019,8/27/2019,51,0
5,2,CidetrakNOW_8in,8/21/2019,8/27/2019,52,1
5,3,NowBiolure,8/21/2019,8/27/2019,53,91
5,4,BlankCtrl,8/21/2019,8/27/2019,54,0
5,5,AldTCP_1in,8/21/2019,8/27/2019,55,7
5,6,CidetrakNOW_1in,8/21/2019,8/27/2019,56,2
5,7,AldTCP_4in,8/21/2019,8/27/2019,57,37
5,8,AldTCP_12in,8/21/2019,8/27/2019,58,80
6,1,CidetrakNOW_4in,8/21/2019,8/27/2019,61,0
6,2,BlankCtrl,8/21/2019,8/27/2019,62,1
6,3,AldTCP_12in,8/21/2019,8/27/2019,63,40
6,4,CidetrakNOW_8in,8/21/2019,8/27/2019,64,1
6,5,AldTCP_4in,8/21/2019,8/27/2019,65,10
6,6,NowBiolure,8/21/2019,8/27/2019,66,97
6,7,AldTCP_1in,8/21/2019,8/27/2019,67,30
6,8,CidetrakNOW_1in,8/21/2019,8/27/2019,68,0
7,1,AldTCP_4in,8/21/2019,8/27/2019,71,29
7,2,AldTCP_12in,8/21/2019,8/27/2019,72,13
7,3,CidetrakNOW_1in,8/21/2019,8/27/2019,73,0
7,4,NowBiolure,8/21/2019,8/27/2019,74,70
7,5,CidetrakNOW_8in,8/21/2019,8/27/2019,75,0
7,6,CidetrakNOW_4in,8/21/2019,8/27/2019,76,0
7,7,BlankCtrl,8/21/2019,8/27/2019,77,0
7,8,AldTCP_1in,8/21/2019,8/27/2019,78,43
8,1,BlankCtrl,8/21/2019,8/27/2019,81,0
8,2,NowBiolure,8/21/2019,8/27/2019,82,105
8,3,AldTCP_12in,8/21/2019,8/27/2019,83,44
8,4,CidetrakNOW_4in,8/21/2019,8/27/2019,84,0
8,5,AldTCP_1in,8/21/2019,8/27/2019,85,31
8,6,AldTCP_4in,8/21/2019,8/27/2019,86,52
8,7,CidetrakNOW_8in,8/21/2019,8/27/2019,87,0
8,8,CidetrakNOW_1in,8/21/2019,8/27/2019,88,1
